t[s],HighestCellTemperature[DegC]
215.179727,25.4
215.279706,25.4
215.379747,25.4
215.479704,25.4
215.579705,25.4
215.679714,25.4
215.779704,25.4
215.879704,25.4
215.979709,25.4
216.079725,25.4
216.179704,25.4
216.27972,25.4
216.37973,25.4
216.479726,25.4
216.579754,25.4
216.679719,25.4
216.779724,25.4
216.879726,25.4
216.979724,25.4
217.079742,25.4
217.179707,25.4
217.279704,25.4
217.379705,25.4
217.479704,25.4
217.579708,25.4
217.679704,25.4
217.779727,25.4
217.879719,25.4
217.979749,25.4
218.079732,25.4
218.179699,25.4
218.279719,25.4
218.379738,25.4
218.479711,25.4
218.579718,25.4
218.679748,25.4
218.779717,25.4
218.879725,25.4
218.97971,25.4
219.07974,25.4
219.179707,25.4
219.279724,25.4
219.37971,25.4
219.479753,25.4
219.579729,25.4
219.679774,25.4
219.780213,25.4
219.880227,25.4
219.980205,25.4
220.080206,25.4
220.1802,25.4
220.280221,25.4
220.380202,25.4
220.480205,25.4
220.579716,25.4
220.679729,25.4
220.779732,25.4
220.879728,25.4
220.979744,25.4
221.080223,25.4
221.180224,25.4
221.280206,25.4
221.380226,25.4
221.4802,25.4
221.580225,25.4
221.680227,25.4
221.78022,25.4
221.88022,25.4
221.980216,25.4
222.079725,25.4
222.179721,25.4
222.27975,25.4
222.379737,25.4
222.479716,25.4
222.580221,25.4
222.68022,25.4
222.780226,25.4
222.880207,25.4
222.9802,25.4
223.080237,25.4
223.180227,25.4
223.280219,25.4
223.380216,25.4
223.480204,25.4
223.580198,25.4
223.679738,25.4
223.779742,25.4
223.879733,25.4
223.97973,25.4
224.080206,25.4
224.180205,25.4
224.280201,25.4
224.380205,25.4
224.480222,25.4
224.580212,25.4
224.68022,25.4
224.779702,25.4
224.879706,25.4
224.9797,25.4
225.079705,25.4
225.179716,25.4
225.279724,25.4
225.379713,25.4
225.479722,25.4
225.579714,25.4
225.679707,25.4
225.77971,25.4
225.879704,25.4
225.979704,25.4
226.079707,25.4
226.179721,25.4
226.27971,25.4
226.379705,25.4
226.479712,25.4
226.579747,25.4
226.679706,25.4
226.779704,25.4
226.879699,25.4
226.979696,25.4
227.079724,25.4
227.179714,25.4
227.279693,25.4
227.379719,25.4
227.479716,25.3
227.579714,25.3
227.679725,25.3
227.779705,25.3
227.879702,25.3
227.979681,25.3
228.0797,25.3
228.179706,25.3
228.280297,25.3
228.379742,25.3
228.479731,25.3
228.579711,25.3
228.679689,25.3
228.779726,25.3
228.879739,25.3
228.979731,25.3
229.079743,25.3
229.179718,25.3
229.280239,25.3
229.38023,25.3
229.480198,25.3
229.580216,25.3
229.680237,25.3
229.780221,25.3
229.880207,25.3
229.980205,25.3
230.080227,25.3
230.180197,25.3
230.28021,25.3
230.380213,25.3
230.480207,25.3
230.580208,25.3
230.68021,25.3
230.780232,25.3
230.880207,25.3
230.980218,25.3
231.08023,25.3
231.180212,25.3
231.280212,25.3
231.380213,25.3
231.480205,25.3
231.580206,25.3
231.680228,25.3
231.780205,25.3
231.88021,25.3
231.980166,25.3
232.08077,25.3
232.180907,25.3
232.280898,25.3
232.380194,25.3
232.480324,25.3
232.580336,25.3
232.680296,25.3
232.780291,25.3
232.88057,25.3
232.980542,25.3
233.080197,25.3
233.18031,25.3
233.280436,25.3
233.38061,25.3
233.480186,25.3
233.580168,25.3
233.680175,25.3
233.780174,25.3
233.88033,25.3
233.980371,25.3
234.080958,25.3
234.180948,25.3
234.28094,25.3
234.381108,25.3
234.480702,25.3
234.580682,25.3
234.680676,25.3
234.780711,25.3
234.880861,25.3
234.980874,25.3
235.080442,25.3
235.180477,25.3
235.280436,25.3
235.380549,25.3
235.480665,25.3
235.580664,25.3
235.68068,25.3
235.780688,25.3
235.880996,25.3
235.980952,25.3
236.080611,25.3
